"filename", "language", "Markdown", "Verilog", "Scala", "Makefile", "Properties", "C++", "YAML", "JSON", "comment", "blank", "total"
"d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\ALU.v", "Verilog", 0, -349, 0, 0, 0, 0, 0, 0, -1, -1, -351
"d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Arch_RegFile.v", "Verilog", 0, -4259, 0, 0, 0, 0, 0, 0, 0, -1, -4260
"d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\BPU.v", "Verilog", 0, -56061, 0, 0, 0, 0, 0, 0, -1, -1, -56063
"d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\BRU.v", "Verilog", 0, -315, 0, 0, 0, 0, 0, 0, -1, -1, -317
"d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Back_End_With_Decode.anno.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -17589, 0, 0, -17589
"d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Back_End_With_Decode.v", "Verilog", 0, -2594, 0, 0, 0, 0, 0, 0, 0, -1, -2595
"d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Branch_Presolve.v", "Verilog", 0, -61, 0, 0, 0, 0, 0, 0, 0, -1, -62
"d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Busy_Table.v", "Verilog", 0, -565, 0, 0, 0, 0, 0, 0, -1, -1, -567
"d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\CSR.v", "Verilog", 0, -239, 0, 0, 0, 0, 0, 0, -1, -1, -241
"d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\CSR_BF.v", "Verilog", 0, -197, 0, 0, 0, 0, 0, 0, -1, -1, -199
"d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\DIV.v", "Verilog", 0, -255, 0, 0, 0, 0, 0, 0, -1, -1, -257
"d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Decoder.v", "Verilog", 0, -1744, 0, 0, 0, 0, 0, 0, -1, -1, -1746
"d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Dispatch.v", "Verilog", 0, -635, 0, 0, 0, 0, 0, 0, -1, -1, -637
