Date : 2025-04-08 22:28:30
Directory : d:\StudyDocuments\OOOCoreDesign\ysyx-workbench\ysyx-workbench\npc
Total : 107 files,  -71862 codes, 1142 comments, 1024 blanks, all -69696 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Scala      |         47 |      3,816 |        947 |        857 |      5,620 |
| C++        |          8 |        834 |        128 |        102 |      1,064 |
| YAML       |          2 |         63 |          7 |         14 |         84 |
| Makefile   |          1 |         40 |          8 |         14 |         62 |
| Markdown   |          1 |         15 |          0 |          9 |         24 |
| Properties |          1 |          1 |          0 |          1 |          2 |
| JSON       |          4 |    -17,812 |          0 |          0 |    -17,812 |
| Verilog    |         43 |    -58,819 |         52 |         27 |    -58,740 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |        107 |    -71,862 |      1,142 |      1,024 |    -69,696 |
| . (Files)                                                                                                                             |          4 |        103 |         11 |         30 |        144 |
| ..                                                                                                                                    |         40 |   -166,835 |        -24 |        -37 |   -166,896 |
| ..\..                                                                                                                                 |         40 |   -166,835 |        -24 |        -37 |   -166,896 |
| ..\..\..                                                                                                                              |         40 |   -166,835 |        -24 |        -37 |   -166,896 |
| ..\..\..\sbttest                                                                                                                      |         40 |   -166,835 |        -24 |        -37 |   -166,896 |
| ..\..\..\sbttest\chisel-template - ladder_be                                                                                          |         40 |   -166,835 |        -24 |        -37 |   -166,896 |
| ..\..\..\sbttest\chisel-template - ladder_be\genrtl                                                                                   |         40 |   -166,835 |        -24 |        -37 |   -166,896 |
| .github                                                                                                                               |          2 |         63 |          7 |         14 |         84 |
| .github\workflows                                                                                                                     |          2 |         63 |          7 |         14 |         84 |
| csrc                                                                                                                                  |          8 |        834 |        128 |        102 |      1,064 |
| genrtl                                                                                                                                |          2 |     89,742 |         29 |          1 |     89,772 |
| project                                                                                                                               |          2 |          2 |          0 |          2 |          4 |
| src                                                                                                                                   |         44 |      3,767 |        944 |        849 |      5,560 |
| src\test                                                                                                                              |         44 |      3,767 |        944 |        849 |      5,560 |
| src\test\scala                                                                                                                        |         44 |      3,767 |        944 |        849 |      5,560 |
| src\test\scala\ladder                                                                                                                 |         44 |      3,767 |        944 |        849 |      5,560 |
| src\test\scala\ladder (Files)                                                                                                         |         10 |        812 |        253 |        122 |      1,187 |
| src\test\scala\ladder\back_end                                                                                                        |         19 |      2,013 |        513 |        606 |      3,132 |
| src\test\scala\ladder\back_end (Files)                                                                                                |          5 |        319 |         32 |         42 |        393 |
| src\test\scala\ladder\back_end\commit                                                                                                 |          1 |        180 |         54 |         33 |        267 |
| src\test\scala\ladder\back_end\dispatch                                                                                               |          1 |         41 |         18 |          8 |         67 |
| src\test\scala\ladder\back_end\execute                                                                                                |          6 |        965 |        231 |        179 |      1,375 |
| src\test\scala\ladder\back_end\execute (Files)                                                                                        |          2 |        600 |        208 |        119 |        927 |
| src\test\scala\ladder\back_end\execute\mul_div                                                                                        |          4 |        365 |         23 |         60 |        448 |
| src\test\scala\ladder\back_end\issue                                                                                                  |          2 |        221 |         79 |         53 |        353 |
| src\test\scala\ladder\back_end\rename                                                                                                 |          4 |        287 |         99 |        291 |        677 |
| src\test\scala\ladder\cache                                                                                                           |          6 |        544 |        106 |         52 |        702 |
| src\test\scala\ladder\front_end                                                                                                       |          9 |        398 |         72 |         69 |        539 |
| verilogtestbench                                                                                                                      |          3 |        262 |         31 |         45 |        338 |
| vsrc                                                                                                                                  |          2 |        200 |         16 |         18 |        234 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                              | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\ALU.v                                                      | Verilog    |       -349 |         -1 |         -1 |       -351 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Arch_RegFile.v                                             | Verilog    |     -4,259 |          0 |         -1 |     -4,260 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\BPU.v                                                      | Verilog    |    -56,061 |         -1 |         -1 |    -56,063 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\BRU.v                                                      | Verilog    |       -315 |         -1 |         -1 |       -317 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Back_End_With_Decode.anno.json                             | JSON       |    -17,589 |          0 |          0 |    -17,589 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Back_End_With_Decode.v                                     | Verilog    |     -2,594 |          0 |         -1 |     -2,595 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Branch_Presolve.v                                          | Verilog    |        -61 |          0 |         -1 |        -62 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Busy_Table.v                                               | Verilog    |       -565 |         -1 |         -1 |       -567 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\CSR.v                                                      | Verilog    |       -239 |         -1 |         -1 |       -241 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\CSR_BF.v                                                   | Verilog    |       -197 |         -1 |         -1 |       -199 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\DIV.v                                                      | Verilog    |       -255 |         -1 |         -1 |       -257 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Decoder.v                                                  | Verilog    |     -1,744 |         -1 |         -1 |     -1,746 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Dispatch.v                                                 | Verilog    |       -635 |         -1 |         -1 |       -637 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Divider.v                                                  | Verilog    |       -173 |         -1 |         -1 |       -175 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Execute.v                                                  | Verilog    |     -1,263 |          0 |         -1 |     -1,264 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Fetch_Queue.v                                              | Verilog    |       -102 |          0 |         -1 |       -103 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Fetch_Res.v                                                | Verilog    |        -30 |          0 |         -1 |        -31 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Front_End.anno.json                                        | JSON       |        -32 |          0 |          0 |        -32 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Front_End.v                                                | Verilog    |       -374 |          0 |         -1 |       -375 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Full_Adder.v                                               | Verilog    |        -10 |          0 |         -1 |        -11 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\IF1_IF2.v                                                  | Verilog    |       -120 |         -1 |         -1 |       -122 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\IF2_IF3.v                                                  | Verilog    |       -121 |         -1 |         -1 |       -123 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Interrupt_Mask.v                                           | Verilog    |        -79 |         -1 |         -1 |        -81 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\LSU.v                                                      | Verilog    |       -302 |         -1 |         -1 |       -304 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Ladder.anno.json                                           | JSON       |    -17,707 |          0 |          0 |    -17,707 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Ladder.v                                                   | Verilog    |       -200 |          0 |         -1 |       -201 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\MUL.v                                                      | Verilog    |       -268 |         -1 |         -1 |       -270 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Multiplier.v                                               | Verilog    |       -238 |         -1 |         -1 |       -240 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\PC_Gen.v                                                   | Verilog    |        -85 |         -1 |         -1 |        -87 |
| d:\StudyDocuments\OOOCoreDesign\sbttest\chisel-template - ladder_be\genrtl\Partial_Products_Gen.v                                     | Verilog    |       -958 |          0 |         -1 |       -959 |
